Date,Close,Open,High,Low,Volume,Change
"Jun 15, 2006",233,237.5,238.75,232,102.10K,-1.69%
"Jun 14, 2006",237,244,245.25,236.75,100.67K,-2.57%
"Jun 13, 2006",243.25,247.75,248,242.25,130.06K,-1.72%
"Jun 12, 2006",247.5,249,251.25,246.5,125.83K,2.27%
"Jun 09, 2006",242,245.75,247.5,240.25,145.55K,-1.43%
"Jun 08, 2006",245.5,248.25,248.5,245,124.70K,-2.19%
"Jun 07, 2006",251,247.75,251.75,244.5,166.28K,1.31%
"Jun 06, 2006",247.75,252,252.75,247.5,103.39K,-2.08%
"Jun 05, 2006",253,257,257.75,252,80.60K,-2.50%
"Jun 02, 2006",259.5,254.5,260,252.25,86.26K,1.96%
"Jun 01, 2006",254.5,251.25,255.75,247.5,96.40K,1.29%
"May 31, 2006",251.25,254.25,255.25,250,102.80K,-1.28%
"May 30, 2006",254.5,254,257.75,252.5,64.56K,0.20%
"May 26, 2006",254,253.25,257.5,253.25,72.64K,0.30%
"May 25, 2006",253.25,250,253.75,247.5,63.99K,1.50%
"May 24, 2006",249.5,252,252.25,248,68.72K,-1.38%
"May 23, 2006",253,254,256,250.5,85.04K,-0.59%
"May 22, 2006",254.5,254.25,255,248,98.43K,0.69%
"May 19, 2006",252.75,259.5,259.75,252.5,109.33K,-2.88%
"May 18, 2006",260.25,263.5,264.25,259.5,72.35K,-1.05%
"May 17, 2006",263,259,263.5,257.5,107.91K,1.54%
"May 16, 2006",259,259.5,260,256.5,78.28K,-0.38%
"May 15, 2006",260,259.25,261.5,255.75,112.70K,4.73%
"May 12, 2006",248.25,236.5,255,236.5,1.59K,4.42%
"May 11, 2006",237.75,233,238,233,4.65K,3.37%
"May 10, 2006",230,230,233,229.25,7.56K,0.66%
"May 09, 2006",228.5,227.25,230.5,227.25,9.65K,0.66%
"May 08, 2006",227,230.5,230.75,225.75,11.56K,-1.63%
"May 05, 2006",230.75,232,234,230,12.61K,0.44%
"May 04, 2006",229.75,231.25,233.5,229.25,18.83K,-1.08%
"May 03, 2006",232.25,233.25,235,230.25,24.31K,-0.43%
"May 02, 2006",233.25,237.5,237.5,233,24.99K,-2.00%
"May 01, 2006",238,237.25,240.75,236.75,15.04K,-0.10%
"Apr 28, 2006",238.25,231.25,239.25,230.5,24.49K,3.03%
"Apr 27, 2006",231.25,231.5,232,228.75,54.57K,-0.11%
"Apr 26, 2006",231.5,231,233,230.25,37.86K,0.22%
"Apr 25, 2006",231,232.5,233.5,229.75,47.75K,-0.75%
"Apr 24, 2006",232.75,236.5,240,232.5,37.62K,-1.59%
"Apr 21, 2006",236.5,235.25,238,234,25.53K,0.32%
"Apr 20, 2006",235.75,238.25,239.25,234,50.82K,-1.15%
"Apr 19, 2006",238.5,239.25,242.25,238.25,36.92K,-0.31%
"Apr 18, 2006",239.25,236.5,240.5,236,49.66K,1.16%
"Apr 17, 2006",236.5,237.5,240.75,235.5,62.47K,0.11%
"Apr 13, 2006",236.25,237,237.75,235,87.94K,-0.32%
"Apr 12, 2006",237,242,242.5,236.5,112.86K,-2.07%
"Apr 11, 2006",242,240.75,242.5,239,89.28K,0.31%
"Apr 10, 2006",241.25,243,244,239.25,96.29K,-0.72%
"Apr 07, 2006",243,241.25,243.75,238,114.36K,0.62%
"Apr 06, 2006",241.5,236.25,241.75,236,95.90K,2.22%
"Apr 05, 2006",236.25,234,236.75,233.5,62.84K,0.75%
"Apr 04, 2006",234.5,236,236.25,233.5,62.04K,-0.85%
"Apr 03, 2006",236.5,235.25,238.5,234,95.73K,0.21%
"Mar 31, 2006",236,227.25,243,226.75,168.33K,3.62%
"Mar 30, 2006",227.75,224,228,223.75,58.24K,1.56%
"Mar 29, 2006",224.25,222,225,222,53.16K,0.90%
"Mar 28, 2006",222.25,221.25,223,220.5,51.32K,0.23%
"Mar 27, 2006",221.75,219,223,218.25,80.50K,1.37%
"Mar 24, 2006",218.75,219.5,221.25,218.25,44.67K,-0.23%
"Mar 23, 2006",219.25,222,222.25,218.75,53.12K,-1.46%
"Mar 22, 2006",222.5,223,225.25,221,63.86K,-0.45%
"Mar 21, 2006",223.5,218.25,224,217.5,82.76K,2.41%
"Mar 20, 2006",218.25,221.5,222,217,100.49K,-1.47%
"Mar 17, 2006",221.5,224.75,225.25,220.75,111.79K,-1.34%
"Mar 16, 2006",224.5,229,229.5,224,73.84K,-2.07%
"Mar 15, 2006",229.25,231.5,233,227.5,50.14K,4.80%
"Mar 14, 2006",218.75,219.75,220,217.25,2.29K,-0.79%
"Mar 13, 2006",220.5,223.5,223.5,219.5,6.65K,-2.43%
"Mar 10, 2006",226,223.25,226.75,221.25,4.59K,1.23%
"Mar 09, 2006",223.25,219,223.5,219,5.42K,1.94%
"Mar 08, 2006",219,221,221.5,218.75,6.13K,-0.90%
"Mar 07, 2006",221,223,224,220.75,10.73K,-0.90%
"Mar 06, 2006",223,228,228,221.75,12.88K,-2.51%
"Mar 03, 2006",228.75,228.5,229.5,227,19.75K,0.11%
"Mar 02, 2006",228.5,224,229,222.5,19.73K,1.90%
"Mar 01, 2006",224.25,227.25,228,223.75,30.04K,-1.64%
"Feb 28, 2006",228,227,228.75,226.25,37.02K,0.22%
"Feb 27, 2006",227.5,228,228.5,225.5,84.22K,-0.11%
"Feb 24, 2006",227.75,223,228,222.5,71.23K,2.13%
"Feb 23, 2006",223,221.5,224,219.5,70.25K,0.68%
"Feb 22, 2006",221.5,226,227,221,54.46K,-1.99%
"Feb 21, 2006",226,225.5,227,224.5,65.84K,-0.22%
"Feb 17, 2006",226.5,223,227,222.75,60.07K,1.34%
